Titulo1=  Dados detalhados das AIH - por local internação - Brasil
Titulo2=Quantidade aprovada por Grupo procedimento segundo Município
Rodape=Período:Set/2023
Nomemapa=c:\tabwin\br_municip.map
"Município";"01 Ações de promoção e prevenção em saúde";"02 Procedimentos com finalidade diagnóstica";"03 Procedimentos clínicos";"04 Procedimentos cirúrgicos";"05 Transplantes de orgãos, tecidos e células";"06 Medicamentos";"07 Órteses, próteses e materiais especiais";"08 Ações complementares da atenção à saúde";"Total"
"430020 AJURICABA";0;53;583;0;0;0;0;131;767
"430030 ALECRIM";0;87;366;0;0;0;0;450;903
"430040 ALEGRETE";0;2696;1591;307;0;1;24;1569;6188
"430045 ALEGRIA";0;0;0;0;0;0;0;0;0
"430047 ALMIRANTE TAMANDARE DO SUL";0;0;0;0;0;0;0;0;0
"430050 ALPESTRE";0;424;99;7;0;0;0;66;596
"430055 ALTO ALEGRE";0;0;0;0;0;0;0;0;0
"430057 ALTO FELIZ";0;0;0;0;0;0;0;0;0
"430060 ALVORADA";0;7540;3021;156;0;0;0;1494;12211
"430063 AMARAL FERRADOR";0;0;0;0;0;0;0;0;0
"430064 AMETISTA DO SUL";0;149;30;0;0;0;0;80;259
"430066 ANDRE DA ROCHA";0;0;0;0;0;0;0;0;0
"430070 ANTA GORDA";0;230;197;0;0;0;0;2;429
"430080 ANTONIO PRADO";0;1166;660;158;0;0;2;289;2275
"430085 ARAMBARE";0;0;0;0;0;0;0;0;0
"430087 ARARICA";0;0;0;0;0;0;0;0;0
"430090 ARATIBA";0;272;347;59;0;0;0;66;744
"430100 ARROIO DO MEIO";0;1440;793;362;0;1;0;754;3350
"430105 ARROIO DO SAL";0;0;0;0;0;0;0;0;0
"430107 ARROIO DO PADRE";0;0;0;0;0;0;0;0;0
"430110 ARROIO DOS RATOS";0;0;0;0;0;0;0;0;0
"430120 ARROIO DO TIGRE";0;702;961;23;0;0;0;470;2156
"430130 ARROIO GRANDE";0;360;284;5;0;0;0;305;954
"430140 ARVOREZINHA";0;420;761;7;0;0;0;188;1376
"430150 AUGUSTO PESTANA";0;435;693;42;0;0;0;321;1491
"430155 AUREA";0;0;0;0;0;0;0;0;0
"430160 BAGE";0;8817;6699;890;0;15;87;7000;23508
"430163 BALNEARIO PINHAL";0;0;0;0;0;0;0;0;0
"430165 BARAO";0;0;0;0;0;0;0;0;0
"430170 BARAO DE COTEGIPE";0;0;0;0;0;0;0;0;0
"430175 BARAO DO TRIUNFO";0;0;0;0;0;0;0;0;0
"430180 BARRACAO";0;0;0;0;0;0;0;0;0
"430185 BARRA DO GUARITA";0;0;0;0;0;0;0;0;0
"430187 BARRA DO QUARAI";0;0;0;0;0;0;0;0;0
"430190 BARRA DO RIBEIRO";0;0;0;0;0;0;0;0;0
"430192 BARRA DO RIO AZUL";0;0;0;0;0;0;0;0;0
"430195 BARRA FUNDA";0;0;0;0;0;0;0;0;0
"430200 BARROS CASSAL";0;0;0;0;0;0;0;0;0
"430205 BENJAMIN CONSTANT DO SUL";0;0;0;0;0;0;0;0;0
"430210 BENTO GONCALVES";0;12897;9446;1087;5;56;82;2923;26496
"430215 BOA VISTA DAS MISSOES";0;0;0;0;0;0;0;0;0
"430220 BOA VISTA DO BURICA";0;230;273;7;0;0;0;180;690
"430222 BOA VISTA DO CADEADO";0;0;0;0;0;0;0;0;0
"430223 BOA VISTA DO INCRA";0;0;0;0;0;0;0;0;0
"430225 BOA VISTA DO SUL";0;0;0;0;0;0;0;0;0
"430230 BOM JESUS";0;0;28;6;0;0;0;9;43
"430235 BOM PRINCIPIO";0;150;330;31;0;0;0;75;586
"430237 BOM PROGRESSO";0;0;0;0;0;0;0;0;0
"430240 BOM RETIRO DO SUL";0;0;0;0;0;0;0;0;0
"430245 BOQUEIRAO DO LEAO";0;125;275;4;0;0;0;211;615
"430250 BOSSOROCA";0;0;0;0;0;0;0;0;0
"430258 BOZANO";0;0;0;0;0;0;0;0;0
"430260 BRAGA";0;0;0;0;0;0;0;0;0
"430265 BROCHIER";0;0;0;0;0;0;0;0;0
"430270 BUTIA";0;0;0;0;0;0;0;0;0
"430280 CACAPAVA DO SUL";0;727;356;152;0;0;0;605;1840
"430290 CACEQUI";0;456;526;0;0;0;0;217;1199
"430300 CACHOEIRA DO SUL";0;13811;11701;790;32;22;303;3582;30241
"430310 CACHOEIRINHA";0;6264;2221;165;0;5;0;1161;9816
"430320 CACIQUE DOBLE";0;0;0;0;0;0;0;0;0
"430330 CAIBATE";0;57;198;0;0;0;0;78;333
"430340 CAICARA";0;308;464;0;0;0;0;68;840
"430350 CAMAQUA";0;8138;3221;306;0;57;55;2963;14740
"430355 CAMARGO";0;0;0;0;0;0;0;0;0
